         1        20        13  -91134.2
         1        21        14  -70249.3
         1        21        30   -6813.1
         1        22        15  -60756.2
         1        22        32  -10620.4
         1        23        16  -75945.2
         1        23        20  -5210.02
         1        23        24  -4809.25
         1        23        26  -2404.62
         1        23        32  -5049.71
         1        24        16    -36074
         1        24        21  -2805.39
         1        24        26  -2805.39
         1        24        29  -9618.49
         1        25        19  -9618.49
         1        25        23  -32863.2
         1        25        28    -10420
         1        26        27  -4408.47
         1        26        28  -7213.87
         1        26        29   -6813.1
         1        27        17  -4408.47
         1        27        21  -16030.8
         1        27        25  -9618.49
         1        27        30  -8416.18
         1        28        14  -7013.48
         1        28        21   -4007.7
         1        29        20  -3606.93
         1        29        28  -8616.56
         1        30        43  -5610.79
         1        31         5  -13869.5
         1        36        47  -8015.41
         1        38        14  -55044.7
         1        39         5  -10402.2
         1        39        13  -15603.2
         1        39        15   -100121
         1        39        19   -9535.3
         1        40         6  -13002.7
         1        40        15  -1300.27
         1        40        16  -53744.4
         1        40        18  -32073.3
         1        40        31    -19237
         1        41        14  -12135.8
         1        41        15  -6501.34
         1        41        19  -20804.3
         1        41        35  -5610.79
         1        41        36  -9217.72
         1        41        53  -9137.57
         1        42        12  -22884.7
         1        42        13  -7801.61
         1        42        27  -20544.2
         1        42        52  -4408.47
         1        43        18  -17336.9
         1        43        53  -8015.41
         1        44        25  -15603.2
         1        44        53  -8015.41
         1        44        54   -4007.7
         1        45        21  -29906.2
         1        45        38  -10019.3
         1        47        23  -17839.7
         1        48        23  -7801.61
         1        52        40  -29316.7
         1        39        23    -20000
         1        35        15    -40000
